License Number,DBA,Firm Name,Address,City,State,Zip Code,Business Type,Map Point
215546,Uniqlo,Uniqlo California LLC,395 SANTA MONICA PL #232,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PL #232
SANTA MONICA, CA 90401
(34.015022388000034, -118.49376113799997)"
164474,Champs #14338,Foot Locker Retail Inc,1246 3RD STREET PROM,SANTA MONICA,CA,90401,Apparel,"1246 3RD STREET PROM
SANTA MONICA, CA 90401
(34.01768039500007, -118.49856558699997)"
149249,Cotton On USA Inc,,1418 3RD STREET PROM,SANTA MONICA,CA,90401,Apparel,"1418 3RD STREET PROM
SANTA MONICA, CA 90401-2322
(34.015406, -118.49581)"
150691,True Religion Brand Jeans,,395 SANTA MONICA PLACE #14,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PLACE #14
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
162018,Odd Molly Inc,,1450 2ND ST #227,SANTA MONICA,CA,90401,Apparel,"1450 2ND ST #227
SANTA MONICA, CA 90401-2302
(34.013795, -118.495789)"
144921,Michael Kors,Michael Kors Stores (California) Inc,395 SANTA MONICA PLACE #112,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PLACE #112
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
159207,Lorna Jane,Lorna Jane USA Inc,395 SANTA MONICA PLACE #100,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PLACE #100
SANTA MONICA, CA 90401-2372
(34.015049, -118.493622)"
150900,Burberry,CT Corporation - POA,395 SANTA MONICA PLACE #159,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PLACE #159
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
161219,Feders Distributors,A & A Feders Inc,700 COLORADO AVE,SANTA MONICA,CA,90401,Appliance,"700 COLORADO AVE
SANTA MONICA, CA 90401-2610
(34.016293, -118.488873)"
5349,Playland Arcade,George Gordon Ent Inc,350 SANTA MONICA PIER,SANTA MONICA,CA,90401,Arcade,"350 SANTA MONICA PIER
SANTA MONICA, CA 90401-3128
(34.008992, -118.49787)"
115845,Shiho Nakaza Illustration,,1315 11TH ST #11,SANTA MONICA,CA,90401,Art,"1315 11TH ST #11
SANTA MONICA, CA 90401-2025
(34.02279318200004, -118.48968080799995)"
42576,Stone Art,,419 WILSHIRE BLVD,SANTA MONICA,CA,90401,Art,"419 WILSHIRE BLVD
SANTA MONICA, CA 90401-1409
(34.019573706000074, -118.49778711099998)"
109143,Hamilton Galleries,,1431 OCEAN AVE #1800,SANTA MONICA,CA,90401,"Art Gallery, Dealer","1431 OCEAN AVE #1800
SANTA MONICA, CA 90401-2124
(34.01313360300003, -118.49692981299995)"
220276,L A Art Exchange Inc,,920 SANTA MONICA BLVD,SANTA MONICA,CA,90401,"Art Gallery, Dealer","920 SANTA MONICA BLVD
SANTA MONICA, CA 90401-2705
(34.020679, -118.489894)"
146047,Taos Indian Trading Co,,403 SANTA MONICA BLVD,SANTA MONICA,CA,90401,"Art Gallery, Dealer","403 SANTA MONICA BLVD
SANTA MONICA, CA 90401
(34.01663, -118.494895)"
58713,Interactive Cafe,Intn L Home Cinema Inc,215 BROADWAY,SANTA MONICA,CA,90401,"Art Gallery, Dealer","215 BROADWAY
SANTA MONICA, CA 90401-2311
(34.013757189000046, -118.49529435199997)"
55199,Christopher Grimes Gallery,,916 COLORADO AVE,SANTA MONICA,CA,90401,"Art Gallery, Dealer","916 COLORADO AVE
SANTA MONICA, CA 90401-2717
(34.01774773000005, -118.48709326)"
216356,Scott Flax Studio,,1119 COLORADO AVE #11,SANTA MONICA,CA,90401,Art Studio,"1119 COLORADO AVE #11
SANTA MONICA, CA 90401-3009
(34.01934, -118.485148)"
129746,Wetzel's Pretzels,,1403 3RD STREET PROM,SANTA MONICA,CA,90401,"Bakery, Baked Goods","1403 3RD STREET PROM
SANTA MONICA, CA 90401-2321
(34.01559352000004, -118.496007067)"
132701,Vanilla Bake Shop,,512 WILSHIRE BLVD,SANTA MONICA,CA,90401,"Bakery, Baked Goods","512 WILSHIRE BLVD
SANTA MONICA, CA 90401-1404
(34.02024, -118.496906)"
118799,Le Pain Quotidien,P Q Santa Monica Inc,316 SANTA MONICA BLVD,SANTA MONICA,CA,90401,"Bakery, Baked Goods","316 SANTA MONICA BLVD
SANTA MONICA, CA 90401
(34.015971, -118.495704)"
15625,Churro Man,,SANTA MONICA PIER,SANTA MONICA,CA,90401,"Bakery, Baked Goods","SANTA MONICA PIER
SANTA MONICA, CA 90401
"
128536,Joe's Pizza,,111 BROADWAY,SANTA MONICA,CA,90401,"Bakery, Baked Goods","111 BROADWAY
SANTA MONICA, CA 90401-2304
(34.013005, -118.496192)"
98592,Loews Santa Monica Beach Hotel,Lounge,1700 OCEAN AVE,SANTA MONICA,CA,90401,Bar,"1700 OCEAN AVE
SANTA MONICA, CA 90401-3214
(34.009426, -118.492551)"
126925,Bodega Wine Bar,,814 BROADWAY,SANTA MONICA,CA,90401,Bar,"814 BROADWAY
SANTA MONICA, CA 90401-2711
(34.01857626300006, -118.48929223199997)"
214962,Esters,7th Street Wine L P,1314 7TH ST #5,SANTA MONICA,CA,90401,Bar,"1314 7TH ST #5
SANTA MONICA, CA 90401
(34.019697, -118.493454)"
108381,Harvelle's,,1432 4TH ST,SANTA MONICA,CA,90401,Bar / Entertainment,"1432 4TH ST
SANTA MONICA, CA 90401
(34.015657, -118.494273)"
154839,Lincoln Barbers,,1507 LINCOLN BLVD,SANTA MONICA,CA,90401,Barber,"1507 LINCOLN BLVD
SANTA MONICA, CA 90401-2734
(34.01792248700008, -118.48949068199994)"
3600,Hairs The Place,,708 SANTA MONICA BLVD,SANTA MONICA,CA,90401,Barber Shop,"708 SANTA MONICA BLVD
SANTA MONICA, CA 90401-2602
(34.019035, -118.491913)"
151352,Lloyds Barbershop,,101 WILSHIRE BLVD,SANTA MONICA,CA,90401,Barber Shop,"101 WILSHIRE BLVD
SANTA MONICA, CA 90401-1158
(34.01683, -118.501136)"
214286,Santa Monica Beach Bicycle,,1428 4TH ST,SANTA MONICA,CA,90401,"Bicycle Dealer, Repair","1428 4TH ST
SANTA MONICA, CA 90401-2309
(34.01563926800003, -118.49431408799995)"
158088,Downtown LA Bicycles,Designs Limited Clothing Inc,700 WILSHIRE BLVD,SANTA MONICA,CA,90401,"Bicycle Dealer, Repair","700 WILSHIRE BLVD
SANTA MONICA, CA 90401-1708
(34.02145533800007, -118.49535828699999)"
82687,Barnes & Noble Booksellers Inc,Barnes & Noble Booksellers Store #2575,1201 3RD STREET PROM,SANTA MONICA,CA,90401,Book,"1201 3RD STREET PROM
SANTA MONICA, CA 90401-1307
(34.01828806800006, -118.49919808699997)"
96856,Thunderbolt Spiritual Books,,512 SANTA MONICA BLVD,SANTA MONICA,CA,90401,Book,"512 SANTA MONICA BLVD
SANTA MONICA, CA 90401-2410
(34.017493, -118.493813)"
216648,Mv Public Transportation Inc.,,401 WILSHIRE BLVD #1200,SANTA MONICA,CA,90401,Bus,"401 WILSHIRE BLVD #1200
SANTA MONICA, CA 90401-1475
(34.019356, -118.49801)"
220418,KC Chocolatier,Cymcal LLC,1431 2ND ST #B,SANTA MONICA,CA,90401,Candy,"1431 2ND ST #B
SANTA MONICA, CA 90401-2301
(34.014204, -118.496268)"
57439,Amc Theatres Santa Monica 7,American Multi Cinema In,1310 3RD STREET PROM #203,SANTA MONICA,CA,90401,Candy,"1310 3RD STREET PROM #203
SANTA MONICA, CA 90401-1310
(34.016848, -118.497514)"
5975,Monica I & I I Theatres,,1332 2ND ST,SANTA MONICA,CA,90401,Candy,"1332 2ND ST
SANTA MONICA, CA 90401
(34.015433, -118.497703)"
56406,A M C Theatres Broadway 4,Plitt Theatres Inc,1441 3RD STREET PROM,SANTA MONICA,CA,90401,Candy,"1441 3RD STREET PROM
SANTA MONICA, CA 90401-2321
"
211576,It's Sugar LLC,,1427 3RD STREET PROMENADE #102,SANTA MONICA,CA,90401,Candy,"1427 3RD STREET PROMENADE #102
SANTA MONICA, CA 90401-2369
(34.015004, -118.495342)"
110606,Roth Management Company,,200 SANTA MONICA PIER,SANTA MONICA,CA,90401,Carnival,"200 SANTA MONICA PIER
SANTA MONICA, CA 90401-3126
(34.010329, -118.496219)"
114546,The Candy Carousel,Trans World Millennium,200 SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart - Food and Beverage,"200 SANTA MONICA PIER
SANTA MONICA, CA 90401-3126
(34.01044062300008, -118.49601625799994)"
211038,Pier Tamales LLC,,200 SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart - Food and Beverage,"200 SANTA MONICA PIER
SANTA MONICA, CA 90401-3126
(34.01044062300008, -118.49601625799994)"
216034,California Crisps,Pacific Snack Inc,3RD STREET PROMENADE #23,SANTA MONICA,CA,90401,Cart - Food and Beverage,"3RD STREET PROMENADE #23
SANTA MONICA, CA 90401
"
106457,Hat's Amazing,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Accessories,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
157849,United Streets Of Art,Studio Francisco Inc,3RD STREET PROM #12,SANTA MONICA,CA,90401,Cart / Accessories,"3RD STREET PROM #12
SANTA MONICA, CA 90401
(34.01633728100006, -118.49692927699999)"
213397,Chico Hat 2,Seda Savaskan,3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Accessories,"3RD STREET PROMENADE
SANTA MONICA, CA 90401
"
213398,Chico Hat,Seda Savaskan,3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Accessories,"3RD STREET PROMENADE
SANTA MONICA, CA 90401
"
213399,Chico Accessories,Seda Savaskan,3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Accessories,"3RD STREET PROMENADE
SANTA MONICA, CA 90401
"
219762,Art Stop,Mek Trade Corp,3RD STREET PROMENADE #25,SANTA MONICA,CA,90401,Cart / Art,"3RD STREET PROMENADE #25
SANTA MONICA, CA 90401
"
218734,Fancybread,,3RD STREET PROMENADE LOCATION 21,SANTA MONICA,CA,90401,Cart / Art,"3RD STREET PROMENADE LOCATION 21
SANTA MONICA, CA 90401
"
219758,Pyramid Palace,The Awakening Foundation,1351 3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Gifts,"1351 3RD STREET PROMENADE
SANTA MONICA, CA 90401-1385
(34.016305, -118.49687)"
220115,Beach Signs & Gifts,,200 SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Gifts,"200 SANTA MONICA PIER
SANTA MONICA, CA 90401-3126
(34.010384, -118.496158)"
217924,Easy Steam @Promenade,Los Angels Steamers,3RD STREET PROMENADE LOCATION 8,SANTA MONICA,CA,90401,Cart / Gifts,"3RD STREET PROMENADE LOCATION 8
SANTA MONICA, CA 90401
"
145821,L A Beach Kites & Souvenirs,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Gifts,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
129409,Two Photos In One,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Gifts,"SANTA MONICA PIER
SANTA MONICA, CA 90401
"
218390,Milky Way Cases,,1351 3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Gifts,"1351 3RD STREET PROMENADE
SANTA MONICA, CA 90401-1385
(34.016305, -118.49687)"
215986,21CENTURYRIDER,,3RD STREET PROMENADE 1216,SANTA MONICA,CA,90401,Cart / Gifts,"3RD STREET PROMENADE 1216
SANTA MONICA, CA 90401
(34.01760179300004, -118.49296772799994)"
146346,66 To Cali Inc,,200 SANTA MONICA BLVD,SANTA MONICA,CA,90401,Cart / Gifts,"200 SANTA MONICA BLVD
SANTA MONICA, CA 90401-2204
(34.01492809700005, -118.49697039999995)"
215397,Sol Handcrafted Paletas,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Ice Cream,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
218223,Bearfruit #2,Jog & Gene Inc,3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Jewelry,"3RD STREET PROMENADE
SANTA MONICA, CA 90401
(34.016856, -118.497541)"
213350,Silver Star,,3RD STREET PROMENADE LOCATION 14,SANTA MONICA,CA,90401,Cart / Jewelry,"3RD STREET PROMENADE LOCATION 14
SANTA MONICA, CA 90401
"
213729,California Dreams,,3RD STREET PROMENADE,SANTA MONICA,CA,90401,Cart / Jewelry,"3RD STREET PROMENADE
SANTA MONICA, CA 90401
(34.01633728100006, -118.49692927699999)"
214321,V.T.B.L.T.,Lea.Leo Inc,3RD STREET PROMENADE #9,SANTA MONICA,CA,90401,Cart / Jewelry,"3RD STREET PROMENADE #9
SANTA MONICA, CA 90401
(34.01633728100006, -118.49692927699999)"
145952,Downtown Food Co & Commissary,Downtown Fruit,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Plants,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
106456,Red Line 3,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Cart / Sunglasses,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
216840,Serhat Tekin,3rd Street Souvenirs,3RD STREET PROMENADE #7,SANTA MONICA,CA,90401,Cart / Tshirts,"3RD STREET PROMENADE #7
SANTA MONICA, CA 90401
"
115360,Santa Monica Tobacco Inc,,1434 4TH ST,SANTA MONICA,CA,90401,"Cigarette, Cigars, Tobacco","1434 4TH ST
SANTA MONICA, CA 90401-2309
(34.015625, -118.494236)"
107943,Emphatic Inc,,420 BROADWAY,SANTA MONICA,CA,90401,Clothing / Accessories,"420 BROADWAY
SANTA MONICA, CA 90401-2314
(34.01564788200005, -118.49290028399997)"
166537,Land's End #1178,Land's End Inc,302 COLORADO AVE,SANTA MONICA,CA,90401,Clothing / Accessories,"302 COLORADO AVE
SANTA MONICA, CA 90401-2376
(34.013088, -118.492832)"
156023,Tillys,World Of Jeans & Tops Inc,1426 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1426 3RD STREET PROM
SANTA MONICA, CA 90401-2322
(34.015296, -118.495682)"
163128,Lucky Brand Dungarees Stores Inc,,1427 3RD STREET PROM #101,SANTA MONICA,CA,90401,Clothing / Accessories,"1427 3RD STREET PROM #101
SANTA MONICA, CA 90401-2326
(34.015296, -118.495682)"
165745,Eton,Century Retail Concepts Inc,395 SANTA MONICA PLACE #153,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #153
SANTA MONICA, CA 90401-2372
(34.015049, -118.493622)"
154314,Poseidon SUP LLC,,1654 OCEAN AVE,SANTA MONICA,CA,90401,Clothing / Accessories,"1654 OCEAN AVE
SANTA MONICA, CA 90401-3282
(34.010234, -118.493478)"
164823,Kate Spade,LCI Holdings Inc,395 SANTA MONICA PLACE #138,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #138
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
150836,Kitson,A-List Inc,395 SANTA MONICA PLACE #120,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #120
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
120556,Max Studio.com,,1245 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1245 3RD STREET PROM
SANTA MONICA, CA 90401-1307
(34.017729, -118.498553)"
150695,Eva Varro,Eva Varro LLC,395 SANTA MONICA PLACE #144,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #144
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
108507,Armani Exchange,Georgio Armani Corporation,1322 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1322 3RD STREET PROM
SANTA MONICA, CA 90401-1353
(34.016475, -118.497072)"
213096,Nasty Gal Inc,,1254 3RD STREET PROMENADE,SANTA MONICA,CA,90401,Clothing / Accessories,"1254 3RD STREET PROMENADE
SANTA MONICA, CA 90401-1308
(34.017588, -118.498393)"
211878,Spanx,,395 SANTA MONICA PL #102,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PL #102
SANTA MONICA, CA 90401-3469
(34.015049, -118.493622)"
216948,Q,"Q Apparel, Inc.",395 SANTA MONICA PL 218,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PL 218
SANTA MONICA, CA 90401-3472
(34.016046, -118.495666)"
149190,Brandy Melville USA,Marsan & Marsan Inc,1413 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1413 3RD STREET PROM
SANTA MONICA, CA 90401-2321
"
97866,Diesel USA Inc,,1340 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1340 3RD STREET PROM
SANTA MONICA, CA 90401-1310
(34.016441, -118.497031)"
150448,Tory Burch,Tory Burch LLC,395 SANTA MONICA PLACE #104,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #104
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
150838,Hot Topic #737,Hot Topic,395 SANTA MONICA PLACE #228,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #228
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
214997,Alpha Girl,L E V I Inc,395 SANTA MONICA PL #250,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PL #250
SANTA MONICA, CA 90401
(34.015022388000034, -118.49376113799997)"
155659,Tees-R-Us,,SANTA MONICA PIER,SANTA MONICA,CA,90401,Clothing / Accessories,"SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008837097000026, -118.49807604499995)"
100675,Gap #275,,1355 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1355 3RD STREET PROM
SANTA MONICA, CA 90401-1309
(34.016251, -118.496805)"
103054,"Adidas Inline #2, Store #6502",Adidas America Inc,1231 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1231 3RD STREET PROM
SANTA MONICA, CA 90401-1307
(34.017925, -118.498778)"
160489,Free People,Urban Outfitters West LLC,395 SANTA MONICA PLACE #210,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #210
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
160742,Emporio Armani,Giorgio Armani Corporation,395 SANTA MONICA PLACE #134,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #134
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
110137,Old Navy #6229,Old Navy California L L C,1232 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1232 3RD STREET PROM
SANTA MONICA, CA 90401-1308
(34.017897, -118.498746)"
152370,Gymboree Retail Stores Inc,Gymboree Store #1751,395 SANTA MONICA PLACE #208,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #208
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
160335,Madewell Inc,,1349 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1349 3RD STREET PROM
SANTA MONICA, CA 90401-1309
(34.01635810600004, -118.49690831399994)"
149192,T J Maxx #1147,,1251 4TH ST,SANTA MONICA,CA,90401,Clothing / Accessories,"1251 4TH ST
SANTA MONICA, CA 90401-1303
(34.017972, -118.496978)"
217891,SoulCycle Santa Monica LLC,,120 WILSHIRE BLVD,SANTA MONICA,CA,90401,Clothing / Accessories,"120 WILSHIRE BLVD
SANTA MONICA, CA 90401-1107
(34.017076, -118.500829)"
166479,Vilebrequin,Riviera Sun Inc,101 WILSHIRE BLVD,SANTA MONICA,CA,90401,Clothing / Accessories,"101 WILSHIRE BLVD
SANTA MONICA, CA 90401-1158
(34.01686179100005, -118.50117523999995)"
121036,Zara,Zara U S A Inc,1338 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1338 3RD STREET PROM
SANTA MONICA, CA 90401-1310
(34.016468, -118.497063)"
124410,Club Monaco,Club Monaco US LLC,1225 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1225 3RD STREET PROM
SANTA MONICA, CA 90401-1307
(34.018009, -118.498875)"
150923,Bloomingdales,Bloomingdales Inc,315 COLORADO AVE,SANTA MONICA,CA,90401,Clothing / Accessories,"315 COLORADO AVE
SANTA MONICA, CA 90401-2366
(34.013313, -118.492557)"
217430,O Store,Oakley Sales Corp,1350 3RD STREET PROMENADE,SANTA MONICA,CA,90401,Clothing / Accessories,"1350 3RD STREET PROMENADE
SANTA MONICA, CA 90401-1310
(34.016305, -118.49687)"
217443,"Johnny Was, LLC",,395 SANTA MONICA PLACE #124,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #124
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
117553,The Levi's Store,Levi's Only Store Inc,1409 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1409 3RD STREET PROM
SANTA MONICA, CA 90401-3459
(34.01552054900003, -118.49591989399994)"
211923,White House Black Market #3443,White House Black Market Inc,395 SANTA MONICA PLACE #215,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #215
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
160685,Patagonia,Great Pacific Iron Works Inc,1344 4TH ST,SANTA MONICA,CA,90401,Clothing / Accessories,"1344 4TH ST
SANTA MONICA, CA 90401-1302
(34.01687054900003, -118.49575106299994)"
219199,Art Lewin Bespoke-Santa Monica,,120 BROADWAY #103,SANTA MONICA,CA,90401,Clothing / Accessories,"120 BROADWAY #103
SANTA MONICA, CA 90401-2382
(34.013128, -118.495929)"
214199,Goorin Bros,Boorin Bros Inc,312 SANTA MONICA BLVD,SANTA MONICA,CA,90401,Clothing / Accessories,"312 SANTA MONICA BLVD
SANTA MONICA, CA 90401-2206
(34.015985, -118.495687)"
150696,Joes Jeans,Joes Jeans Inc,395 SANTA MONICA PLACE #171,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #171
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
150848,Allsaints Spitalfields,Allsaints U S A Limited,395 SANTA MONICA PLACE #152E,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #152E
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
111447,Victoria's Secret Store #1275,"Victoria's Secret Stores, L L C",1245 3RD STREET PROM #A,SANTA MONICA,CA,90401,Clothing / Accessories,"1245 3RD STREET PROM #A
SANTA MONICA, CA 90401-1307
(34.017729, -118.498553)"
112249,Urban Outfitters,Urban Outfitters West L L C,1440 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1440 3RD STREET PROM
SANTA MONICA, CA 90401-2322
"
112253,Anthropologie,Urban Outfitters West LLC,1402 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1402 3RD STREET PROM
SANTA MONICA, CA 90401-2322
"
150276,Coach,Coach #1273,395 SANTA MONICA PLACE #130,SANTA MONICA,CA,90401,Clothing / Accessories,"395 SANTA MONICA PLACE #130
SANTA MONICA, CA 90401-2372
(34.016046, -118.495666)"
129627,Lids #5816,Hat World Inc,1413 3RD STREET PROM,SANTA MONICA,CA,90401,Clothing / Accessories,"1413 3RD STREET PROM
SANTA MONICA, CA 90401-2321
"
